Abstract_ID,Title,Year,Journal,Keywords.author,Abstract,Review,Eco.Quantify,Abiotic,Human
1356,Experimental floods cause ecosystem regime shift in a regulated river,2008,ECOLOGICAL APPLICATIONS,ecosystem regime shift; experimental flooding; flood disturbance; resilience or resistance; macroinvertebrates; river flow regime; temporal scale,"Reservoirs have altered the flow regime of most rivers on the globe. To simulate the natural flow regime, experimental foods are being implemented on regulated rivers throughout the world to improve their ecological integrity. As a large-scale disturbance, the long-term sequential use of floods provides an excellent empirical approach to examine ecosystem regime shifts in rivers. This study evaluated the long-term effects of floods (15 floods over eight years) on a regulated river. We hypothesized that sequential floods over time would cause a regime shift in the ecosystem. The floods resulted in little change in the physicochemistry of the river, although particulate organic carbon and particulate phosphorus were lower after the floods. The floods eliminated moss cover on bed sediments within the first year of flooding and maintained low periphyton biomass and benthic organic matter after the third year of flooding. Organic matter in transport was reduced after the third year of flooding, although peaks were still observed during rain events due to tributary inputs and side slopes. The floods reduced macroinvertebrate richness and biomass after the. rst year of floods, but density was not reduced until the third year. The individual mass of invertebrates decreased by about one-half after the floods. Specific taxa displayed either a loss in abundance, or an increase in abundance, or an increase followed by a loss after the third year. The. rst three flood years were periods of nonequilibrium with coefficients of variation in all measured parameters increasing two to five times from those before the floods. Coefficients of variation decreased after the third year, although they were still higher than before the floods. Analysis of concordance using Kendall's W confirmed the temporal changes observed in macroinvertebrate assemblage structure. An assessment of individual flood effects showed that later floods had similar to 30% less effect on macroinvertebrates than early floods of similar magnitude, suggesting that the new assemblage structure is more resilient to flood disturbance. We conclude that the floods caused an ecosystem regime shift that took three years to unfold. Additional long-term changes or shifts are expected as new taxa colonize the river from other sources.",NO,YES,NO,NO
1357,The role of spatial structure in at-risk metapopulation recoveries,2023,ECOLOGICAL APPLICATIONS,density dependence; dispersal; endangered species; metapopulation theory; population dynamics; recovery regimes; spatial structure,"Metapopulations are often managed as a single contiguous population despite the spatial structure underlying their local and regional dynamics. Disturbances from human activities can also be spatially structured with mortality impacts concentrated to just a few local populations among the aggregate. Scale transitions between local and regional processes can generate emergent properties whereby the whole system can fail to recover as quickly as expected for an equivalent single population. Here, we draw on theory and empirical case studies to ask: what is the consequence of spatially structured ecological and disturbance processes on metapopulation recoveries? We suggest that exploring this question could help address knowledge gaps for managing metapopulations including: Why do some metapopulations recover quickly while others remain collapsed? And, what risks are unaccounted for when metapopulations are managed at aggregate scales? First, we used model simulations to examine how scale transitions among ecological and disturbance conditions interact to generate emergent metapopulation recovery outcomes. In general, we found that the spatial structure of disturbance was a strong determinant of recovery outcomes. Specifically, disturbances that unevenly impacted local populations consistently generated the slowest recoveries and highest conservation risks. Ecological conditions that dampened metapopulation recoveries included low dispersal, variable local demography, sparsely connected habitat networks, and spatially and temporally correlated stochastic processes. Second, we illustrate the unexpected challenges of managing metapopulations by examining the recoveries of three USA federally listed endangered species: Florida Everglade snail kites, California and Alaska sea otters, and Snake River Chinook salmon. Overall, our results show the pivotal role of spatial structure in metapopulation recoveries whereby the interplay between local and regional processes shapes the resilience of the whole system. With this understanding, we provide guidelines for resource managers tasked with conserving and managing metapopulations and identify opportunities for research to support the application of metapopulation theory to real-world challenges.",NO,YES,NO,NO
1358,β-diversity reveals ecological connectivity patterns underlying marine community recovery: Implications for conservation,2023,ECOLOGICAL APPLICATIONS,distance-decay similarity; experimental marine ecology; marine protected areas; Mediterranean Sea; reserve networks; resilience; rocky reef communities,"As beta-diversity can be seen as a proxy of ecological connections among species assemblages, modeling the decay of similarity in species composition at increasing distance may help elucidate spatial patterns of connectivity and local- to large-scale processes driving community assembly within a marine region. This, in turn, may provide invaluable information for setting ecologically coherent networks of marine protected areas (MPAs) in which protected communities are potentially interrelated and can mutually sustain against environmental perturbations. However, field studies investigating changes in beta-diversity patterns at a range of spatial scales and in relation to disturbance are scant, limiting our understanding of how spatial ecological connections among marine communities may affect their recovery dynamics. We carried out a manipulative experiment simulating a strong physical disturbance on subtidal rocky reefs at several locations spanning >1000 km of coast in the Adriatic Sea (Mediterranean Sea) and compared beta-diversity patterns and decay of similarity with distance and time by current transport between undisturbed and experimentally disturbed macrobenthic assemblages to shed light on connectivity processes and scales involved in recovery. In contrast to the expectation that very local-scale processes, such as vegetative regrowth and larval supply from neighboring undisturbed assemblages, might be the major determinants of recovery in disturbed patches, we found that connectivity mediated by currents at larger spatial scales strongly contributed to shape community reassembly after disturbance. Across our study sites in the Adriatic Sea, beta-diversity patterns suggested that additional protected sites that matched hotspots of propagule exchange could increase the complementarity and strengthen the ecological connectivity throughout the MPA network. More generally, conditional to habitat distribution and selection of sites of high conservation priority (e.g., biodiversity hotspots), setting network internode distance within 100-150 km, along with sizing no-take zones to cover at least 5 km of coast, would help enhance the potential connectivity of Mediterranean subtidal rocky reef assemblages from local to large scale. These results can help improve conservation planning to achieve the goals of promoting ecological connectivity within MPA networks and enhancing their effectiveness in protecting marine communities against rapidly increasing natural and anthropogenic disturbances.",NO,YES,NO,NO
1359,Plant-soil feedbacks and the partial recovery of soil spatial patterns on abandoned well pads in a sagebrush shrubland,2015,ECOLOGICAL APPLICATIONS,Artemisia tridentata; autocorrelation; competition and facilitation; ecosystem structure and function; energy development and reclamation; plant-soil interactions; resilience; resistance; resource islands; restoration ecology; soil organic carbon; spatial analysis,"Shrub-dominated arid and semiarid ecosystems are characterized by spatial patterns in vegetation and bare ground (e.g., resource islands). Modern oil and gas well pad construction entails complete removal of vegetation and upper soil layers, followed by replacement of soils and attempts at revegetation; historically, many pads were merely abandoned. Feedbacks between soil and vegetation are required for the recovery of ecosystem functions in these catastrophically disturbed systems. We measured soil organic carbon (SOC), employing a spatially explicit sampling protocol, on two sites in undisturbed big sagebrush communities and a chronosequence of eight recovering well pads. Sites in undisturbed communities exhibited significant spatial autocorrelation of SOC at the plot level that was absent from all of the well pad sites. Incorporating shrub presence as a covariate revealed three additional cases of SOC spatial autocorrelation on well pads. These results, along with SOC patterns between and under plants, suggest resource island development. These findings support the hypothesis that species identity as well as functional group need to be taken into account in restoration. Restoration of ecosystem functions, including those associated with resistance and resilience to disturbance, may be enhanced when characteristic soil heterogeneity and vegetation spatial patterns recover.",NO,YES,YES,NO
1360,Experimental support for alternative attractors on coral reefs,2019,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,bistability; hysteresis; resilience; coral-algae phase shift; alternative stable states,"Ecological theory predicts that ecosystems with multiple basins of attraction can get locked in an undesired state, which has profound ecological and management implications. Despite their significance, alternative attractors have proven to be challenging to detect and characterize in natural communities. On coral reefs, it has been hypothesized that persistent coral-to-macroalgae phase shifts that can result from overfishing of herbivores and/or nutrient enrichment may reflect a regime shift to an alternate attractor, but, to date, the evidence has been equivocal. Our field experiments in Moorea, French Polynesia, revealed the following: (i) hysteresis existed in the herbivory-macroalgae relationship, creating the potential for coral-macroalgae bistability at some levels of herbivory, and (ii) macroalgae were an alternative attractor under prevailing conditions in the lagoon but not on the fore reef, where ambient herbivory fell outside the experimentally delineated region of hysteresis. These findings help explain the different community responses to disturbances between lagoon and fore reef habitats of Moorea over the past several decades and reinforce the idea that reversing an undesired shift on coral reefs can be difficult. Our experimental framework represents a powerful diagnostic tool to probe for multiple attractors in ecological systems and, as such, can inform management strategies needed to maintain critical ecosystem functions in the face of escalating stresses.",NO,YES,NO,NO
1362,Drought then wildfire reveals a compound disturbance in a resprouting forest,2023,ECOLOGICAL APPLICATIONS,climate change impacts; die-off; forest dynamics; Mediterranean; Northern Jarrah forest; resprouting; tree mortality,"The frequency and intensity of forest disturbances, such as drought and fire, are increasing globally, with an increased likelihood of multiple disturbance events occurring in short succession. Disturbances layered over one another may influence the likelihood or intensity of subsequent events (a linked disturbance) or impact response and recovery trajectories (a compound disturbance), with substantial implications for ecological spatiotemporal vulnerability. This study evaluates evidence for disturbance interactions of drought followed by wildfire in a resprouting eucalypt-dominated forest (the Northern Jarrah Forest) in southwestern Australia. Sites were stratified by drought (high, low), from previous modeling and ground validation, and fire severity (high, moderate, unburnt), via remote sensing using the relative difference normalized burn ratio (RdNBR). Evidence of a linked disturbance was assessed via fine fuel consumption and fire severity. Compound disturbance effects were quantified at stand scale (canopy height, quadratic mean diameter, stem density) and stem scale (mortality). There was no evidence of prior drought influencing fine fuel consumption or fire severity and, hence, no evidence of a linked disturbance. However, compound disturbance effects were evident; stands previously affected by drought experienced smaller shifts in canopy height, quadratic mean diameter, and stem density than stands without prior drought impact. At the stem scale, size and fire severity were the strongest determinants of stem survival. Proportional resprouting height was greater in high drought sites than in low drought sites (p < 0.01), meaning, structurally, the low drought stands decreased in height more than the high drought stands. Thus, a legacy of the drought was evident after the wildfire. Although these resprouting eucalypt forests have been regarded as particularly resilient, this study illustrates how multiple disturbances can overwhelm the larger tree component and promote an abundance of smaller stems. We suggest that this is early evidence of a structural destabilization of these forests under a more fire-prone, hotter, and drier future climate.",NO,YES,NO,NO
1363,The Drosophila NPY- like system protects against chronic stress-induced learning deficit by preventing the disruption of autophagic flux,2023,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,chronic stress; learning and memory; autophagy; neuropeptide F; Drosophila melanogaster,"Chronic stress may induce learning and memory deficits that are associated with a depression -like state in Drosophila melanogaster. The molecular and neural mechanisms underlying the etiology of chronic stress-induced learning deficit (CSLD) remain elusive. Here, we show that the autophagy- lysosomal pathway, a conserved cellular signaling mechanism, is associated with chronic stress in Drosophila, as indicated by time- series transcriptome profiling. Our findings demonstrate that chronic stress induces the disrup-tion of autophagic flux, and chronic disruption of autophagic flux could lead to a learning deficit. Remarkably, preventing the disruption of autophagic flux by up- regulating the basal autophagy level is sufficient to protect against CSLD. Consistent with the essential role of the dopaminergic system in modulating susceptibility to CSLD, dopamine neu-ronal activity is also indispensable for chronic stress to induce the disruption of autophagic flux. By screening knockout mutants, we found that neuropeptide F, the Drosophila homolog of neuropeptide Y, is necessary for normal autophagic flux and promotes resil-ience to CSLD. Moreover, neuropeptide F signaling during chronic stress treatment pro-motes resilience to CSLD by preventing the disruption of autophagic flux. Importantly, neuropeptide F receptor activity in dopamine neurons also promotes resilience to CSLD. Together, our data elucidate a mechanism by which stress- induced excessive dopamin-ergic activity precipitates the disruption of autophagic flux, and chronic disruption of autophagic flux leads to CSLD, while inhibitory neuropeptide F signaling to dopamine neurons promotes resilience to CSLD by preventing the disruption of autophagic flux.",NO,NO,NO,NO
1364,"Declining ecological resilience and invasion resistance under climate change in the sagebrush region, United States",2025,ECOLOGICAL APPLICATIONS,climate adaptation; dryland; land management planning; long-term prioritization; restoration; sagebrush ecological integrity; wildfire,"In water-limited dryland ecosystems of the Western United States, climate change is intensifying the impacts of heat, drought, and wildfire. Disturbances often lead to increased abundance of invasive species, in part, because dryland restoration and rehabilitation are inhibited by limited moisture and infrequent plant recruitment events. Information on ecological resilience to disturbance (recovery potential) and resistance to invasive species can aid in addressing these challenges by informing long-term restoration and conservation planning. Here, we quantified the impacts of projected future climate on ecological resilience and invasion resistance (R&R) in the sagebrush region using novel algorithms based on ecologically relevant and climate-sensitive predictors of climate and ecological drought. We used a process-based ecohydrological model to project these predictor variables and resulting R&R indicators for two future climate scenarios and 20 climate models. Results suggested widespread future R&R decreases (24%-34% of the 1.16 million km2 study area) that are generally consistent among climate models. Variables related to rising temperatures were most strongly linked to decreases in R&R indicators. New continuous R&R indices quantified responses to climate change; particularly useful for areas without projected change in the R&R category but where R&R still may decrease, for example, some of the areas with a historically low R&R category. Additionally, we found that areas currently characterized as having high sagebrush ecological integrity had the largest areal percentage with expected declines in R&R in the future, suggesting continuing declines in sagebrush ecosystems. One limitation of these R&R projections was relatively novel future climatic conditions in particularly hot and dry areas that were underrepresented in the training data. Including more data from these areas in future updates could further improve the reliability of the projections. Overall, these projected future declines in R&R highlight a growing challenge for natural resource managers in the region, and the resulting spatially explicit datasets provide information that can improve long-term risk assessments, prioritizations, and climate adaptation efforts.",NO,YES,NO,NO
1365,Fauna of Yosemite National Park lakes has low resistance but high resilience to fish introductions,2005,ECOLOGICAL APPLICATIONS,amphibians; benthic macroinvertebrates; introduced fish; mountain lakes; predictive models; recovery; resilience; resistance; RIVPACS; Sierra Nevada; zooplankton,"The ratio of the number of taxa observed at a site to that expected to occur in the absence of anthropogenic impacts (O/E) is an ecologically meaningful measure of the degree of faunal alteration. We used O/E ratios to describe the response by amphibian, reptile, benthic macroinvertebrate, and zooplankton taxa in originally fishless lakes in Yosemite National Park to the introduction and subsequent disappearance of nonnative fish. To quantify resistance (the degree to which a system is altered when the environment changes) and resilience (the degree to which a system returns to its previous configuration once the perturbation is removed), we compared O/E ratios between lakes that were never stocked, were previously stocked and still contained fish, or were previously stocked but had reverted to a fishless condition. On average, stocked- fish-present sites had 16% fewer taxa than never-stocked sites (O/E = 0.84 vs. 1.00, respectively). This statistically significant difference in O/E ratios indicates that native fauna had relatively low resistance to fish introductions. Resistance was inversely related to fish density and elevation, and directly related to water depth. Vulnerability to impacts of trout predation differed markedly between faunal groups, being high for amphibians, reptiles, conspicuous benthic invertebrates, and zooplankton and low for inconspicuous benthic invertebrates. O/E ratios in stocked-now-fishless sites were significantly higher (1.00) than those in stocked-fish-present sites and were not significantly different from those in never-stocked sites, indicating that this fauna had high resilience. For stocked-now-fishless sites, the relationship between the O/E ratio and the number of years since fish disappearance indicated that taxonomic composition recovered to closely resemble that of never-stocked lakes in less than two years following fish disappearance. Collectively, these result's indicate that despite strong effects of an introduced predatory fish on community structure, these systems recover quickly and predictably following fish removal.",NO,YES,NO,NO
1366,Scandium-45 nuclear-clock candidate driven by X-ray lasers,2023,NATURE,Physics; Nuclear physics; Technology,"Precise timekeeping is key to many technologies, motivating the search for more-stable reference oscillators for use as clocks. The resonant X-ray excitation of a long-lived nuclear state in scandium-45 makes it a potential reference oscillator for a nuclear clock that could surpass atomic clocks in stability and resilience against external perturbations.",NO,NO,YES,NO
1367,Resilience and reactivity of global food security,2015,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,food trade network; stability; Malthusian growth; food crisis,"The escalating food demand by a growing and increasingly affluent global population is placing unprecedented pressure on the limited land and water resources of the planet, underpinning concerns over global food security and its sensitivity to shocks arising from environmental fluctuations, trade policies, and market volatility. Here, we use country-specific demographic records along with food production and trade data for the past 25 y to evaluate the stability and reactivity of the relationship between population dynamics and food availability. We develop a framework for the assessment of the resilience and the reactivity of the coupled population-food system and suggest that over the past two decades both its sensitivity to external perturbations and susceptibility to instability have increased.",NO,NO,NO,YES
1368,Thinning followed by slash burning enhances growth and reduces vulnerability to drought for Pinus nigra,2024,ECOLOGICAL APPLICATIONS,basal area increment; carbon and oxygen stable isotopes; dendroecology; prescribed burning; resilience indices; tree ring; water stress; water-use efficiency,"Increasingly frequent severe drought events are pushing Mediterranean forests to unprecedented responses. Lack of management leads to dense forests that are highly susceptible to drought stress, potentially resulting in extensive dieback and increased vulnerability to other disturbances. Forest treatments like thinning and slash burning reduce competition for resources and have the potential to enhance tree growth and vigor and minimize tree vulnerability to drought. Here, we used tree rings to study the growth and physiological response of black pine (Pinus nigra) to drought in northeastern Spain under different treatments, including two thinning intensities (light and heavy, with 10% and 40% basal area reduction, respectively) followed by two understory treatments (clearing alone and in combination with slash burning), resulting in a research design of four treatments plus an untreated control with three replicates. Specifically, we studied basal area increment (BAI), resilience indices, and intrinsic water use efficiency (iWUE) using carbon and oxygen isotope composition (delta C-13 and delta O-18 in tree-ring cellulose) before and after treatments. Our results showed that BAI and resistance to drought increased in the heavy-thin (burned and unburned) and light-thin burned units. Resilience increased in the burned units regardless of the thinning intensity, while recovery was not affected by treatment. Slash burning additionally increased BAI in the light-thin and resistance and resilience in the heavy-thin units compared with clearing alone. The stable isotope analysis revealed a minor effect of treatments on delta C-13 and delta O-18. No change in iWUE among treatments was presumably linked to a proportional increase in both net CO2 assimilation and stomatal conductance, which particularly increased in the heavy-thin (burned and unburned) and light-thin burned units, indicating that these trees were the least affected by drought. This study shows that management approaches aimed at reducing wildfire hazard can also increase the vigor of dominant trees under drought stress. By reducing competition both from the overstory and the understory, thinning followed by clearing alone or in combination with slash burning promotes tree growth and vigor and increases its resistance and resilience to drought.",NO,YES,NO,NO
1369,Patterns and drivers of biotic disturbance hotspots in western United States coniferous forests,2025,ECOGRAPHY,Bark beetle; disturbance interactions; plant pathogen; spatio-temporal model; temperate forest; tree mortality,"Globally, forest disturbances caused by herbivorous insects and plant pathogens (i.e. biotic disturbances) have increased since the 1990s, a trend linked in part to climate warming. With increases in biotic disturbance activity, an emerging ecological phenomenon has been documented: biotic disturbance 'hotspots', or areas where two or more biotic disturbance agents co-occur in space and time. Biotic disturbance hotspots may have important implications for forest resilience, particularly if they erode mechanisms of post-disturbance forest recovery. The factors leading to hotspot occurrence, however, remain poorly understood. We characterized the patterns and drivers of biotic disturbance hotspots occurring from 2000 to 2020 across three broad forested regions in the western United States (US; the Southern Rockies, Middle Rockies, and Cascades). Using Bayesian spatio-temporal models, we evaluated whether hotspots can be predicted from predisposing factors expected to increase forest susceptibility to biotic disturbance (i.e. forest composition, topography, and average climate), as well as inciting factors known to trigger individual bark beetle and pathogen outbreaks (i.e. annual weather). Biotic disturbance hotspots exhibited distinct spatio-temporal patterns and trends within each region. Forest structure and composition were the strongest and most consistent drivers of hotspots. Other factors varied in their importance by region, reflecting regional differences in biophysical context. Relative to the predictor variables included in our models, estimated spatio-temporal random effects were more closely correlated with model predictions, suggesting that dynamic factors such as outbreak spread strongly shape patterns of biotic disturbance hotspots. Our results illustrate the widespread nature of biotic disturbance hotspots across western US coniferous forests and demonstrate the importance of forest structure and regional outbreak dynamics in anticipating hotspots at regional scales. These findings provide a deeper understanding of interacting forest disturbances and have important implications for the resilience of forests during a period marked by continued increases in disturbance activity.",NO,YES,NO,NO
1370,"Restoring diversity after cattail expansion: disturbance, resilience, and seasonality in a tropical dry wetland",2011,ECOLOGICAL APPLICATIONS,clonal plant; Costa Rica; invasive plant management; mechanical disturbance; nitrogen limitation; N:P stoichiometry; Palo Verde National Park; regime shift; seasonal flooding and drought; seed bank; Typha domingensis; wetland restoration,"As the human footprint expands, ecologists and resource managers are increasingly challenged to explain and manage abrupt ecosystem transformations (i.e., regime shifts). In this study, we investigated the role of a mechanical disturbance that has been used to restore and maintain local wetland diversity after a monotypic regime shift in northwestern Costa Rica [specifically, an abrupt landscape-scale cattail (Typha) expansion]. The study was conducted in Palo Verde Marsh (Palo Verde National Park; a RAMSAR Wetland of International Importance), a seasonally flooded freshwater wetland that has historically provided habitat for large populations of wading birds and waterfowl. A cattail (T. domingensis) expansion in the 1980s greatly altered the plant community and reduced avian habitat. Since then, Typha has been managed using a form of mechanical disturbance called fangueo (a Spanish word, pronounced fahn-gay-yo in English). We applied a Typha removal treatment at three levels (control, fangueo, and fangueo with fencing to exclude cattle grazing). Fangueo resulted in a large reduction in Typha dominance (i.e., decreased aboveground biomass, ramet density, and ramet height) and an increase in habitat heterogeneity. As in many ecosystems that have been defined by multiple and frequent disturbances, a large portion of the plant community regenerated after disturbance (via propagule banking) and fangueo resulted in a more diverse plant community that was strongly dictated by seasonal processes (i.e., distinct wet-and dry-season assemblages). Importantly, the mechanical disturbance had no apparent short-term impact on any of the soil properties we measured (including bulk density). Interestingly, low soil and foliar N:P values indicate that Palo Verde Marsh and other wetlands in the region may be nitrogen limited. Our results quantify how, in a cultural landscape where the historical disturbance regime has been altered and diversity has declined, a mechanical disturbance in combination with seasonal drought and flooding has been used to locally restrict a clonal monodominant plant expansion, create habitat heterogeneity, and maintain plant diversity.",NO,YES,NO,NO
1371,Novel model coupling approach for resilience analysis of coastal plant communities,2018,ECOLOGICAL APPLICATIONS,Baltic Sea; hybrid model; Lolium perenne; model coupling; Scirpus maritimus; transient dynamics,"Resilience is a major research focus covering a wide range of topics from biodiversity conservation to ecosystem (service) management. Model simulations can assess the resilience of, for example, plant species, measured as the return time to conditions prior to a disturbance. This requires process-based models (PBM) that implement relevant processes such as regeneration and reproduction and thus successfully reproduce transient dynamics after disturbances. Such models are often complex and thus limited to either short-term or small-scale applications, whereas many research questions require species predictions across larger spatial and temporal scales. We suggest a framework to couple a PBM and a statistical species distribution model (SDM), which transfers the results of a resilience analysis by the PBM to SDM predictions. The resulting hybrid model combines the advantages of both approaches: the convenient applicability of SDMs and the relevant process detail of PBMs in abrupt environmental change situations. First, we simulate dynamic responses of species communities to a disturbance event with a PBM. We aggregate the response behavior in two resilience metrics: return time and amplitude of the response peak. These metrics are then used to complement long-term SDM projections with dynamic short-term responses to disturbance. To illustrate our framework, we investigate the effect of abrupt short-term groundwater level and salinity changes on coastal vegetation at the German Baltic Sea. We found two example species to be largely resilient, and, consequently, modifications of SDM predictions consisted mostly of smoothing out peaks in the occurrence probability that were not confirmed by the PBM. Discrepancies between SDM- and PBM-predicted species responses were caused by community dynamics simulated in the PBM and absent from the SDM. Although demonstrated with boosted regression trees (SDM) and an existing individual-based model, IBC-grass (PBM), our flexible framework can easily be applied to other PBM and SDM types, as well as other definitions of short-term disturbances or long-term trends of environmental change. Thus, our framework allows accounting for biological feedbacks in the response to short- and long-term environmental changes as a major advancement in predictive vegetation modeling.",NO,YES,NO,NO
1373,Influences of prior wildfires on vegetation response to subsequent fire in a reburned Southwestern landscape,2016,ECOLOGICAL APPLICATIONS,Bandelier National Monument; New Mexico; USA; fire severity; general resilience; Jemez Mountains; New Mexico; USA; landscape memory; ponderosa pine (Pinus ponderosa); prescribed fire; relativized burn ratio,"Large and severe wildfires have raised concerns about the future of forested landscapes in the southwestern United States, especially under repeated burning. In 2011, under extreme weather and drought conditions, the Las Conchas fire burned over several previous burns as well as forests not recently exposed to fire. Our purpose was to examine the influences of prior wildfires on plant community composition and structure, subsequent burn severity, and vegetation response. To assess these relationships, we used satellite-derived measures of burn severity and a nonmetric multidimensional scaling of pre- and post-Las Conchas field samples. Earlier burns were associated with shifts from forested sites to open savannas and meadows, oak scrub, and ruderal communities. These non-forested vegetation types exhibited both resistance to subsequent fire, measured by reduced burn severity, and resilience to reburning, measured by vegetation recovery relative to forests not exposed to recent prior fire. Previous shifts toward non-forested states were strongly reinforced by reburning. Ongoing losses of forests and their ecological values confirm the need for restoration interventions. However, given future wildfire and climate projections, there may also be opportunities presented by transformations toward fire-resistant and resilient vegetation types within portions of the landscape.",NO,YES,NO,NO
1376,Pre-exposure to disturbance enhances species resilience and protects from change,2025,NATURE ECOLOGY & EVOLUTION,,,NA,NA,NA,NA
1377,Fortifying the forest: thinning and burning increase resistance to a bark beetle outbreak and promote forest resilience,2016,ECOLOGICAL APPLICATIONS,"delayed mortality; Dendroctonus ponderosae; fire-adaptations; fuel treatment; Montana, USA; oleoresin; Pinus ponderosa; plant defense; silviculture; succession","Fire frequency in low-elevation coniferous forests in western North America has greatly declined since the late 1800s. In many areas, this has increased tree density and the proportion of shade-tolerant species, reduced resource availability, and increased forest susceptibility to forest insect pests and high-severity wildfire. In response, treatments are often implemented with the goal of increasing ecosystem resilience by increasing resistance to disturbance. We capitalized on an existing replicated study of fire and stand density treatments in a ponderosa pine (Pinus ponderosa)-Douglas-fir (Pseudotsuga menziesii) forest in western Montana, USA, that experienced a naturally occurring mountain pine beetle (MPB; Dendroctonus ponderosae) outbreak 5 yr after implementation of fuels treatments. We explored whether treatment effects on tree-level defense and stand structure affected resistance to MPB. Mortality from MPB was highest in the denser, untreated control and burn-only treatments, with approximately 50% and 39%, respectively, of ponderosa pine killed during the outbreak, compared to almost no mortality in the thin-only and thin-burn treatments. Thinning treatments, with or without fire, dramatically increased tree growth and resin ducts relative to control and burn-only treatments. Prescribed burning did not increase resin ducts but did cause changes in resin chemistry that may have affected MPB communication and lowered attack success. While ponderosa pine remained dominant in the thin and thin-burn treatments after the outbreak, the high pine mortality in the control and burn-only treatment caused a shift in species dominance to Douglas-fir. The high Douglas-fir component in the control and burn-only treatments due to 20th century fire exclusion, coupled with high pine mortality from MPB, has likely reduced resilience of this forest beyond the ability to return to a ponderosa pine-dominated system in the absence of further fire or mechanical treatment. Our results show treatments designed to increase resistance to high-severity fire in ponderosa pine-dominated forests in the Northern Rockies can also increase resistance to MPB, even during an outbreak. This study suggests that fuel and restoration treatments in fire-dependent ponderosa pine forests that reduce tree density increase ecosystem resilience in the short term, while the reintroduction of fire is important for long-term resilience.",NO,YES,NO,NO
1378,"Response diversity, functional redundancy, and post-logging productivity in northern temperate and boreal forests",2018,ECOLOGICAL APPLICATIONS,coniferous trees; deciduous trees; disturbances; ecosystem functioning; functional diversity; functional effect groups; functional redundancy; resilience; sustainable forest management,"The development of efficient ecosystem resilience indicators was identified as one of the key research priorities in the improvement of existing sustainable forest management frameworks. Two indicators of tree diversity associated with ecosystem functioning have recently received particular attention in the literature: functional redundancy (FR) and response diversity (RD). We examined how these indicators could be used to predict post-logging productivity in forests of Quebec, Canada. We analysed the relationships between pre-logging FR and RD, as measured with sample plots, and post-logging productivity, measured as seasonal variation in enhanced vegetation index obtained from MODIS satellite imagery. The effects of the deciduous and coniferous tree components in our pre-disturbance diversity assessments were isolated in order to examine the hypothesis that they have different impacts on post-disturbance productivity. We also examined the role of tree species richness and species identity effects. Our analysis revealed the complementary nature of traditional biodiversity indicators and trait-based approaches in the study of biodiversity-ecosystem-functioning relationships in dynamic ecosystems. We report a significant and positive relationship between pre-disturbance deciduous RD and post-disturbance productivity, as well as an unexpected significant negative effect of coniferous RD on productivity. This negative relationship with post-logging productivity likely results from slower coniferous regeneration speeds and from the relatively short temporal scale examined. Negative black-spruce-mediated identity effects were likely associated with increased stand vulnerability to paludification and invasion by ericaceous shrubs that slow down forest regeneration. Response diversity outperformed functional redundancy as a measure of post-disturbance productivity most likely due to the stand-replacing nature of the disturbance considered. To the best of our knowledge, this is among the first studies to report a negative significant relationship between a component of RD and ecosystem functioning, namely coniferous RD and forest ecosystem productivity after a stand-replacing disturbance.",NO,YES,NO,NO
1379,Non-equilibrium early-warning signals for critical transitions in ecological systems,2023,PROCEEDINGS OF THE NATIONAL ACADEMY OF SCIENCES OF THE UNITED STATES OF AMERICA,early warning signals; tipping point prediction; critical transitions; landscape-flux theory; global stability of ecological systems,"Complex systems can exhibit sudden transitions or regime shifts from one stable state to another, typically referred to as critical transitions. It becomes a great challenge to identify a robust warning sufficiently early that action can be taken to avert a regime shift. We employ landscape-flux theory from nonequilibrium statistical mechanics as a general framework to quantify the global stability of ecological systems and provide warning signals for critical transitions. We quantify the average flux as the nonequilibrium driving force and the dynamical origin of the nonequilibrium transition while the entropy production rate as the nonequilibrium thermodynamic cost and thermodynamic origin of the nonequilibrium transition. Average flux, entropy production, nonequilibrium free energy, and time irreversibility quantified by the difference in cross-correlation functions forward and backward in time can serve as early warning signals for critical transitions much earlier than other conventional predictors. We utilize a classical shallow lake model as an exemplar for our early warning prediction. Our proposed method is general and can be readily applied to assess the resilience of many other ecological systems. The early warning signals proposed here can potentially predict critical transitions earlier than established methods and perhaps even sufficiently early to avert catastrophic shifts.",NO,YES,NO,NO
1380,Soft-tissue vessels and cellular preservation in Tyrannosaurus rex,2005,SCIENCE,,"Soft tissues are preserved within hindlimb elements of Tyrannosaurus rex (Museum of the Rockies specimen 1125). Removal of the mineral phase reveals transparent, flexible, hollow blood vessels containing small round microstructures that can be expressed from the vessels into solution. Some regions of the demineralized bone matrix are highly fibrous, and the matrix possesses elasticity and resilience. Three populations of microstructures have cell-like morphology. Thus, some dinosaurian soft tissues may retain some of their original flexibility, elasticity, and resilience.",NO,NO,NO,NO
